ID,family,name,author,classic,P2D,P3D,weather
1,simple,Triangle,Stan Le Punk,true,false,false,false
2,simple,The Abyss,Andreas Gysin,false,false,true,false
3,simple,Atome,Stan Le Punk,true,false,false,true
4,simple,Spray,Stan Le Punk,true,false,false,false
5,simple,Spirale,Stan Le Punk,true,false,false,false
6,simple,Arbre,Stan Le Punk,true,false,false,false
7,simple,Courbe,Stan Le Punk,true,false,false,false
8,simple,Balise,Stan Le Punk,true,false,false,false
9,simple,Eclat,Stan Le Punk,true,false,false,false
,,,,,,,
1,texture,Lignes,Stan Le Punk,true,false,false,false
2,texture,Damier,Stan Le Punk,true,false,false,false
3,texture,Rectangles,Stan Le Punk,true,false,false,false
4,texture,Croix,Stan Le Punk,true,false,false,false
5,texture,Caméra,Stan Le Punk,true,false,false,false
6,texture,Sable,Stan Le Punk,true,false,false,false
7,texture,Escargot,Stan Le Punk,true,false,false,true
,,,,,,,
1,typography,Lettre,Stan Le Punk,true,false,true,false
2,typography,Horloge,Stan Le Punk,true,false,false,false
3,typography,Flux RSS,Stan Le Punk,true,false,false,false
4,typography,Karaoké,Stan Le Punk,true,false,false,false
5,typography,Twitter Message,Stan Le Punk,true,false,false,false
