Library Order,Name,ID,Group,Version,Author,Class name,Pack,Render,Mode,Slider
1,The Abbyss,2,1,version 2.1,Andreas Gysin,Abbyss,Base,P3D,Box Fish/Cubus/Floater/Radio/Worm/Sea Fly/Breather/Spider/Manta/Father/Super Nova,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness"
2,Arbre,6,1,Version 1.2,Stan le Punk,ArbreRomanesco,Base,classic,Line/Disc/Disc line/Rectangle/Rectangle line/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Direction,Amplitude"
3,Atome,3,1,version 1.2,Stan le Punk,Atome,Base,P3D,Chemical title/Chemical schema/Electronic Cloud/Your text,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Canvas X,Canvas Y,Speed,Direction,Family,Quantity"
4,Balise,8,1,Version 1.2,Stan le Punk,BaliseRomanesco,Base,P3D,Disc/Rectangle/Box/Box Snake,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Amplitude,Force"
5,Boxolyzer,13,2,Version 1.0,My name is Nobody,Boxolyzer,Base,P3D,Classic/Circle,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Canvas X,Quantity,Direction"
6,Damier,11,2,Version 1.1,Stan le Punk,Damier,Base,classic,Rectangle/Ellipse/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Amplitude"
7,Image,16,2,version 1.4,Stan le Punk,Escargot,Base,P3D,Original/Raw/Point/Ellipse/Rectangle/Box/Cross/SVG/Vitraux,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Speed,Direction,Amplitude,Analyze,Quantity,Force"
8,Galaxie,15,2,Version 1.2,Stan le Punk,Galaxie,Base,classic,Point/Ellipse/Rectangle,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Canvas X,Canvas Y,Quantity,Speed,Force"
9,Nid d'abeilles,17,2,Version 0.1,Amnon Owed,Honeycomb,Base,P3D,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Thickness,Width,Canvas X,Canvas Y"
10,Horloge,19,3,Version 2.0,Stan Le Punk,Horloge,Base,classic,Ellipse Clock 12/Ellipse Clock 24/Line Clock 12/Line Clock 24/minutes/secondes,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Amplitude"
11,Karaoke,21,3,Version 2.0,Stan LePunk,Karaoke,Base,classic,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Canvas X,Canvas Y,Direction"
12,Les anciens,1,1,Version 2.1,Stan le Punk,LesVieux,Base,classic,Courbe/Triangle bug,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Canvas X,Speed,Amplitude"
13,Letter,18,3,Version 1.1,Stan le Punk,Letter,Base,P3D,Line/Point,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Thickness,Width,Canvas X,Canvas Y,Canvas Z,Quantity,Speed"
14,Lignes,10,2,Version 1.1,Stan le Punk,Lignes,Base,classic,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Thickness,Quantity,Speed,Direction"
15,Rubis,9,1,version 1.0,Stan le Punk,MesAmis,Base,P3D,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Canvas X,Speed,Quantity,Amplitude"
16,RSS,20,3,version 1.1,Stan Le Punk,RSS,Base,classic,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Canvas X,Canvas Y,Canvas Z,Direction"
17,Rideau,12,2,Version 2.0,Stan le Punk,Rideau,Base,classic,Rectangle/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Canvas X,Direction,Life"
18,Soleil,7,1,Version 1.0,Stan le Punk,Soleil,Base,P3D,Beam/Lie'Bro'One/Lie'Bro'Two/Lie'Bro Noisy,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Canvas X,Quantity,Speed,Angle,Amplitude"
19,Spirale,5,1,Version 1.2,Stan le Punk,SpiraleRomanesco,Base,P3D,Rectangle/Ellipse/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Amplitude"
20,Stars Spray,4,1,version 1.1,Stan le Punk,Spray,Base,P3D,Star/Spray,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Thickness,Width,Height,Canvas X,Canvas Y,Quantity,Speed,Angle,Life,Force"
21,Twitos,22,3,version 2.1,Stan Le Punk,Twitos,Base,classic,,all
22,Webcam,14,2,Version 1.2,Stan le Punk,Webcam,Base,P3D,Rectangle color/Rectangle mono/Point color/Point mono/Box color/Box mono,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Height,Depth,Canvas X,Canvas Y"
