Library Order,Name,ID,Group,Version,Author,Class name,Pack,Render,Mode,Slider
1,Anillos,19,1,Version 0.0.2,David Robayo,Anillos,Workshop june 2015,classic,,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Quantity,Angle,Area"
2,Arbre,10,1,Version 1.3.1,Stan le Punk,ArbreRomanesco,Base,classic,Line/Disc/Disc line/Rectangle/Rectangle line/Box,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Quantity,Speed X,Direction X,Canvas X"
3,Atome,6,1,version 1.3.2,Stan le Punk,Atome,Base,P3D,Chemical Name/File text/Electronic cloud/Ellipse circle/Ellipse triangle/Ellipse cloud/Triangle circle/Triangle triangle/Triangle cloud/Rectangle rectangle/Rectangle cloud,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Canvas X,Canvas Y,Speed X,Direction X,Variety,Quantity,Area,Angle"
4,Balise,14,1,Version 1.2.1,Stan le Punk,BaliseRomanesco,Base,P3D,Disc/Rectangle/Box/Box Snake,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Quantity,Speed X,Canvas X,Repulsion"
5,Boids,8,1,Version 1.0.1,Stan le Punk,Boids,Base,classic,Tetra monochrome/Tetra camaieu,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Canvas X,Canvas Y,Canvas Z,Quantity,Attraction,Repulsion,Influence,Alignment,Speed X"
6,Boxolyzer,11,1,Version 1.0.3,Stan le Punk,Boxolyzer,Base,P3D,Classic/Circle,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Canvas X,Quantity,Direction X"
7,Damier,18,1,Version 1.1.1,Stan le Punk,Damier,Base,classic,Rectangle/Ellipse/Box,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Quantity,Speed X,Canvas X"
8,Image,23,1,version 1.4.3,Stan le Punk,Escargot,Base,P3D,Original/Raw/Point/Ellipse/Rectangle/Box/Cross/SVG/Vitraux,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Speed X,Direction X,Canvas X,Quality,Quantity,Repulsion"
9,Galaxie,20,1,Version 1.3,Stan le Punk,Galaxie,Base,classic,Point/Ellipse/Rectangle/Box,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Canvas X,Canvas Y,Quantity,Speed X,Influence"
10,Nid d'abeille,21,1,Version 0.1.1,Amnon Owed,Honeycomb,Base,P3D,,"Fill hue,Fill sat,Fill bright,Fill alpha,Thickness,Size X,Canvas X,Canvas Y"
11,Horloge,2,1,Version 2.0.1,Stan Le Punk,Horloge,Base,classic,Ellipse Clock 12/Ellipse Clock 24/Line Clock 12/Line Clock 24/minutes/secondes,"Fill hue,Fill sat,Fill bright,Fill alpha,Canvas X,Direction X,Area,Speed X,Size X"
12,Karaoke,4,1,Version 2.0,Stan LePunk,Karaoke,Base,classic,,"Fill hue,Fill sat,Fill bright,Fill alpha,Size X,Canvas X,Canvas Y,Direction X"
13,Kofosphere,15,1,Version 1.0.1,Kof,Kofosphere,Base,P3D,Point color/Point mono/Box color/Box mono,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Size Y,Size Z,Canvas X,Quantity,Speed X"
14,Letter,1,1,Version 1.2,Stan le Punk,Letter,Base,P3D,Point/Line/Triangle,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Size X,Canvas X,Canvas Y,Canvas Z,Quantity,Speed X"
15,Lignes,16,1,Version 1.1.1,Stan le Punk,Lignes,Base,classic,Lines 1/Lines 2/Lines 3/Lines 4/Lines 5/Lines 6,"Fill hue,Fill sat,Fill bright,Fill alpha,Thickness,Quantity,Speed X,Direction X,Canvas X,Angle,Alignment"
16,Rubis,9,1,version 1.0.1,Stan le Punk,MesAmis,Base,P3D,,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Thickness,Canvas X,Speed X,Quantity,Canvas X"
17,Orbital,5,1,Version 0.0.2,Alexandre Petit,Orbital,Workshop,classic,,"Fill hue,Fill sat,Fill bright,Fill alpha,Stroke hue,Stroke sat,Stroke bright,Stroke alpha,Quantity,Speed X"
