Library Order,Name,ID,Group,Version,Author,Class name,Pack,Render,Costume,Mode,Renderer,Slider
1,Arbre,9,1,Version 1.3.7,Stan le Punk,ArbreRomanesco,Base 2012,,point/ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,,,speed X,,,,,,direction X,,,,,,,,,quantity,,,,,area,,,,alignment,,,,,,,"
2,Atome,5,1,version 1.3.6,Stan le Punk,Atome,Base 2012,,,Chemical Name/File text/Electronic cloud/Ellipse circle/Ellipse triangle/Ellipse cloud/Triangle circle/Triangle triangle/Triangle cloud/Rectangle rectangle/Rectangle cloud,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,font size,canvas X,canvas Y,,,speed X,,,,,,direction X,,,,,,,,,quantity,variety,,,,area,angle,,,,,,,,,,"
3,Balise,13,1,Version 1.3.4,Stan le Punk,BaliseRomanesco,Base 2011,,point/ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,speed X,,,,,,,,,,,,,,,quantity,,,,,area,,,,,repulsion,,,,,,"
4,Ballet,29,1,Version 0.0.2,Stan le Punk,Ballet,Romanesco 2018,,none/point/ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,solo/valse 2D/valse 3D/whisky walk/random,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,canvas Z,,speed X,speed Y,speed Z,,,,,,,,,,swing X,,,quantity,variety,,,,area,angle,,,,,,,,,,"
5,Boids,7,1,Version 1.0.3,Stan le Punk,Boids,Base 2015,,,Tetra monochrome/Tetra camaieu,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,,,,canvas X,canvas Y,canvas Z,,speed X,,,,,,,,,,,,,,,quantity,,,,,,,,,alignment,repulsion,attraction,,influence,,,"
6,BoumBoum,28,1,Version 0.0.3,Stan le Punk,BoumBoum,Base 2018,,point/ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,speed X,speed Y,speed Z,,,,direction X,direction Y,direction Z,,,,,,,,,,,,area,,,,,,,,,,,"
7,Boxolyzer,10,1,Version 1.1.1,Stan le Punk,Boxolyzer,Base 2012,,,Line/Circle,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,,,,,,,direction X,,,,,,,,,quantity,,,,,,,,,,,,,,,,"
8,Damier,17,1,Version 1.1.3,Stan le Punk,Damier,Base,,,Rectangle/Ellipse/Box,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,,,,,speed X,,,,,,,,,,,,swing X,,,quantity,,,,,,angle,,,,,,,,,,"
9,Eco DNA,26,1,Version 0.1.5,Stan le Punk,Ecosystem_DNA,Ecosystem 2016,,Point/Ellipse/Triangle/Rect/Cross/ABC,,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,canvas Z,,speed X,,,,,,direction X,,,,,,,,,quantity,,,,,,,,,,,,density,,,spectrum,"
10,Eco Agents,25,1,Version 0.1.5,Stan le Punk,Ecosystem_agent,Ecosystem 2016,,,Virus/Human/Alien/Other,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,canvas Z,,speed X,,,,,,,,,,,,,,,quantity,,life,,,,,,,,,,,,,spectrum,"
11,Image,22,1,version 1.4.7,Stan le Punk,Escargot,Base 2011,,,Original/Raw/Point/Ellipse/Rectangle/Box/Cross/SVG/Vitraux,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,speed X,,,,,,direction X,,,,,,,,,quantity,,,,quality,,,,,,,,,,,,"
12,Force Field,30,1,Version 0.0.1,Stan le Punk,FF,Romanesco 2018,,none/line,fluid/magnetic/gravity/perlin/equation/chaos/image,classic,",,,,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,,,,,,,,,,,,,,,,,,,,,,,quantity,,,,,area,,,,,,,,,,spectrum,"
