Library Order,Name,ID,Group,Version,Author,Class name,Pack,Render,Costume,Mode,References,Slider
1,Arbre,1,1,Version 1.4.3,Stan le Punk,ArbreRomanesco,Base 2012-2018,,point/ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,,,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,,,speed X,,,,,,direction X,,,,,,,,,quantity,,,,,area,,,,alignment,,,,,,,,,,,,,,,"
2,Atome,2,1,version 1.3.10,Stan le Punk,Atome,Base 2012-2018,,,Chemical Name/File text/Electronic cloud/Ellipse circle/Ellipse triangle/Ellipse cloud/Triangle circle/Triangle triangle/Triangle cloud/Rectangle rectangle/Rectangle cloud,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,diameter,canvas X,canvas Y,,,speed X,,,,,,direction X,,,,,,,,,quantity,variety,,,,area,angle,,,,,,,,,,,,,,,,,,"
3,Balise,3,1,Version 1.3.6,Stan le Punk,BaliseRomanesco,Base 2011-2018,,point/ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,speed X,,,,,,,,,,,,,,,quantity,,,,,area,,,,,repulsion,,,,,,,,,,,,,,"
4,Boids,4,1,Version 1.0.4,Stan le Punk,Boids,Base 2015-2018,,,Tetra monochrome/Tetra camaieu,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,,,,canvas X,canvas Y,canvas Z,,speed X,,,,,,,,,,,,,,,quantity,,,,,,,,,alignment,repulsion,attraction,,influence,,,,,,,,,,,"
5,BoumBoum,5,1,Version 0.0.6,Stan le Punk,BoumBoum,Base 2018-2018,,ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,speed X,speed Y,speed Z,,,,direction X,direction Y,direction Z,,,,,,,,,,,,area,,,,,,,,,,,,,,,,,,,"
6,Boxolyzer,6,1,Version 2.0.2,Stan le Punk,Boxolyzer,Base 2012-2018,,ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,Line/Circle,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,,,,,,,direction X,direction Y,direction Z,,,,,,,quantity,,,,,area,,,,,,,,,,,,,,,,,,,"
7,Automata,7,1,Version 0.0.2,Stan le Punk,Cellular_automata,Nature of Code 2018-2018,,point/ellipse/triangle/rect/cross/pentagon/Star 5/Star 7/Super Star 8/Super Star 12,rules 30/rules 110/rules 190/rules 222,"Item based on Daniel Shiffman code
and behavior from Stephen Wolfram
https://natureofcode.com/","f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,,,speed X,,,,,,,,,,,,,,,,,,,,area,,,,,,,,,,,grid,,,,,,,,"
8,Eco DNA,8,1,Version 0.1.9,Stan le Punk,Ecosystem_DNA,Ecosystem 2016-2018,,Point/Ellipse/Triangle/Rect/Cross/ABC,,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,canvas Z,,speed X,,,,,,direction X,,,,,,,,,quantity,,,,,,,,,,,,density,,,spectrum,,,,,,,,,"
9,Eco Agents,9,1,Version 0.1.8,Stan le Punk,Ecosystem_agent,Ecosystem 2016-2018,,,Virus/Human/Alien/Other,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,canvas Z,,speed X,,,,,,,,,,,,,,,quantity,,life,,,,,,,,,,,,,spectrum,,,,,,,,,"
10,Image,10,1,version 1.4.11,Stan le Punk,Escargot,Base 2012-2018,,,Original/Raw/Point/Ellipse/Rectangle/Box/Cross/SVG/Vitraux,none,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,,,,speed X,,,,,,direction X,,,,,,,,,quantity,,,,quality,,,,,,,,,,,,,,,,,,,,"
