Name,Slider
multiply,red src/green src/blue src/red/green/blue
screen,red src/green src/blue src/red/green/blue
exclusion,red src/green src/blue src/red/green/blue
overlay,red src/green src/blue src/red/green/blue
hard_light,red src/green src/blue src/red/green/blue
soft_light,red src/green src/blue src/red/green/blue
color_dodge,red src/green src/blue src/red/green/blue
color_burn,red src/green src/blue src/red/green/blue
linear_dodge,red src/green src/blue src/red/green/blue
linear_burn,red src/green src/blue src/red/green/blue
vivid_light,red src/green src/blue src/red/green/blue
linear_light,red src/green src/blue src/red/green/blue
pin_light,red src/green src/blue src/red/green/blue
hard_mix,red src/green src/blue src/red/green/blue
subtract,red src/green src/blue src/red/green/blue
divide,red src/green src/blue src/red/green/blue
addition,red src,green src,blue src,red,green,blue
difference,red src/green src/blue src/red/green/blue
darken,red src/green src/blue src/red/green/blue
lighten,red src/green src/blue src/red/green/blue
invert,red src/green src/blue src/red/green/blue
invert_rgb,red src/green src/blue src/red/green/blue
